Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     18.08     0.00    33240     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::insert(std::pair<std::string const, int> const&)
  0.00     18.08     0.00    33240     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_insert(std::pair<std::string const, int> const&, std::integral_constant<bool, true>)
  0.00     18.08     0.00    33240     0.00     0.00  std::pair<std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>, bool>::pair<std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>, bool>(std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>&&, bool&&)
  0.00     18.08     0.00    33240     0.00     0.00  std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> >::push_back(NgramList::Ngram const&)
  0.00     18.08     0.00    33240     0.00     0.00  std::__detail::_Hash_node<std::pair<std::string const, int>, false>::_Hash_node<std::pair<std::string const, int> const&>(std::pair<std::string const, int> const&&&)
  0.00     18.08     0.00    33240     0.00     0.00  std::__detail::_Hash_node<std::pair<std::string const, int>, false>::~_Hash_node()
  0.00     18.08     0.00    33240     0.00     0.00  std::__detail::_Hashtable_iterator_base<std::pair<std::string const, int>, false>::_M_incr()
  0.00     18.08     0.00    33240     0.00     0.00  std::string&&& std::forward<std::string&>(std::identity<std::string&>::type&&)
  0.00     18.08     0.00    33239     0.00     0.00  void std::__pop_heap<__gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >, NgramList::CompareCount>(__gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >, __gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >, __gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >, NgramList::CompareCou)
  0.00     18.08     0.00    33228     0.00     0.00  std::pair<bool, int>::pair<bool, int>(bool&&, int&&)
  0.00     18.08     0.00    33228     0.00     0.00  std::pair<bool, unsigned long>::pair<bool, int>(std::pair<bool, int>&&)
  0.00     18.08     0.00    33228     0.00     0.00  std::remove_reference<bool&>::type&& std::move<bool&>(bool&&&)
  0.00     18.08     0.00    33228     0.00     0.00  std::pair<std::__decay_and_strip<bool>::__type, std::__decay_and_strip<int>::__type> std::make_pair<bool, int>(bool&&, int&&)
  0.00     18.08     0.00    26411     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00     18.08     0.00    25732     0.00     0.00  std::__detail::_Hashtable_iterator_base<std::pair<std::string const, int>, false>::_M_incr_bucket()
  0.00     18.08     0.00       72     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::base() const
  0.00     18.08     0.00       72     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::size() const
  0.00     18.08     0.00       72     0.00     0.00  std::move_iterator<std::string*>::move_iterator(std::string*)
  0.00     18.08     0.00       72     0.00     0.00  std::move_iterator<std::string*> std::make_move_iterator<std::string*>(std::string* const&)
  0.00     18.08     0.00       68     0.00     0.00  std::move_iterator<NgramList::Ngram*>::move_iterator(NgramList::Ngram*)
  0.00     18.08     0.00       68     0.00     0.00  std::move_iterator<NgramList::Ngram*> std::make_move_iterator<NgramList::Ngram*>(NgramList::Ngram* const&)
  0.00     18.08     0.00       55     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator()
  0.00     18.08     0.00       54     0.00     0.00  __gnu_cxx::new_allocator<std::string>::max_size() const
  0.00     18.08     0.00       52     0.00     0.00  std::_Vector_base<NgramList::Ngram, std::allocator<NgramList::Ngram> >::_M_get_Tp_allocator()
  0.00     18.08     0.00       51     0.00     0.00  __gnu_cxx::new_allocator<NgramList::Ngram>::max_size() const
  0.00     18.08     0.00       36     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::__normal_iterator(std::string* const&)
  0.00     18.08     0.00       36     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator() const
  0.00     18.08     0.00       36     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::max_size() const
  0.00     18.08     0.00       36     0.00     0.00  std::string* std::uninitialized_copy<std::move_iterator<std::string*>, std::string*>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*)
  0.00     18.08     0.00       36     0.00     0.00  std::string* std::__uninitialized_copy_a<std::move_iterator<std::string*>, std::string*, std::string>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*, std::allocator<std::string>&)
  0.00     18.08     0.00       36     0.00     0.00  std::string* std::__uninitialized_move_a<std::string*, std::string*, std::allocator<std::string> >(std::string*, std::string*, std::string*, std::allocator<std::string>&)
  0.00     18.08     0.00       35     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     18.08     0.00       34     0.00     0.00  std::_Vector_base<NgramList::Ngram, std::allocator<NgramList::Ngram> >::_M_get_Tp_allocator() const
  0.00     18.08     0.00       34     0.00     0.00  std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> >::max_size() const
  0.00     18.08     0.00       34     0.00     0.00  NgramList::Ngram* std::__uninitialized_copy<false>::uninitialized_copy<std::move_iterator<NgramList::Ngram*>, NgramList::Ngram*>(std::move_iterator<NgramList::Ngram*>, std::move_iterator<NgramList::Ngram*>, NgramList::Ngram*)
  0.00     18.08     0.00       34     0.00     0.00  NgramList::Ngram* std::uninitialized_copy<std::move_iterator<NgramList::Ngram*>, NgramList::Ngram*>(std::move_iterator<NgramList::Ngram*>, std::move_iterator<NgramList::Ngram*>, NgramList::Ngram*)
